epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2803.05,0.53893,0.41964,0.8926,0.90963,0.9069,0.9372,0.83089,0.47649,0.35462,0.85245,0.00820525,0.00820525,0.00820525
58,2858.87,0.53866,0.42125,0.89483,0.90918,0.90496,0.93639,0.83096,0.47415,0.35456,0.85155,0.00814495,0.00814495,0.00814495
59,2905.89,0.53414,0.41597,0.88962,0.90963,0.90534,0.93649,0.83103,0.47458,0.3519,0.85159,0.00808389,0.00808389,0.00808389
60,2960.18,0.5404,0.42152,0.89391,0.91731,0.901,0.93592,0.83085,0.47598,0.35179,0.85329,0.00802208,0.00802208,0.00802208
61,3007.59,0.53581,0.41803,0.89064,0.92124,0.89156,0.9355,0.83147,0.47161,0.35537,0.84865,0.00795954,0.00795954,0.00795954
62,3060.69,0.53059,0.41287,0.89048,0.90698,0.90609,0.93502,0.83212,0.4709,0.35583,0.85009,0.00789628,0.00789628,0.00789628
63,3107.82,0.5313,0.41432,0.88995,0.89973,0.91235,0.93494,0.83192,0.46954,0.35288,0.84998,0.00783231,0.00783231,0.00783231
64,3157.25,0.52651,0.40652,0.88855,0.89906,0.91286,0.93498,0.83236,0.46938,0.3524,0.85029,0.00776766,0.00776766,0.00776766
65,3204.43,0.52762,0.40999,0.88871,0.89921,0.91388,0.93492,0.83187,0.46981,0.35106,0.85104,0.00770234,0.00770234,0.00770234
66,3253.65,0.52435,0.40808,0.88971,0.9052,0.91086,0.93466,0.83197,0.46951,0.35073,0.85107,0.00763637,0.00763637,0.00763637
67,3301.58,0.52537,0.40414,0.89059,0.90241,0.91024,0.93501,0.83106,0.46862,0.35198,0.85068,0.00756976,0.00756976,0.00756976
68,3351.01,0.52523,0.40827,0.88846,0.90475,0.90853,0.93541,0.83111,0.4666,0.35238,0.84994,0.00750252,0.00750252,0.00750252
69,3399.83,0.52146,0.40231,0.88476,0.90234,0.91234,0.93533,0.83206,0.46594,0.35196,0.8493,0.00743468,0.00743468,0.00743468
70,3447.01,0.52205,0.40324,0.88557,0.90182,0.91328,0.93695,0.83392,0.46526,0.35019,0.84751,0.00736625,0.00736625,0.00736625
71,3497.18,0.51847,0.39852,0.88554,0.90092,0.91222,0.93677,0.83295,0.46603,0.35015,0.84835,0.00729725,0.00729725,0.00729725
72,3543.48,0.51737,0.3996,0.88561,0.9022,0.91272,0.93704,0.83327,0.46529,0.34811,0.84909,0.0072277,0.0072277,0.0072277
73,3594.67,0.52383,0.40372,0.8874,0.90216,0.91058,0.93605,0.83279,0.46525,0.34899,0.84926,0.00715761,0.00715761,0.00715761
74,3641.44,0.51912,0.39939,0.8865,0.90252,0.91215,0.93609,0.83324,0.4641,0.34876,0.84842,0.007087,0.007087,0.007087
